2024-06-10 11:21:36,489.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,489.nutrition_producer.INFO Today is 2024-06-10 at 11:21 AM
2024-06-10 11:21:36,489.nutrition_producer.INFO Running on: nt Windows 10
2024-06-10 11:21:36,490.nutrition_producer.INFO Python version:  3.11.9
2024-06-10 11:21:36,490.nutrition_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-10 11:21:36,490.nutrition_producer.INFO Working dir: C:\Users\bambe\OneDrive\Documents\NMSU\44671_StreamingData\Module_7\44671_streaming-07-final-project
2024-06-10 11:21:36,490.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,524.nutrition_producer.INFO Queue 'Protein (g)' declared.
2024-06-10 11:21:36,542.nutrition_producer.INFO Queue 'Fat (g)' declared.
2024-06-10 11:21:36,558.nutrition_producer.INFO Queue 'Carbohydrates (g)' declared.
2024-06-10 11:21:36,572.nutrition_producer.INFO Queue 'Sodium (mg)' declared.
2024-06-10 11:21:36,588.nutrition_producer.INFO Queue 'Fiber' declared.
2024-06-10 11:21:36,937.nutrition_producer.INFO  [x] Sent 'Date: 1/10/2023, Protein (g): 178.2' to queue 'Protein (g)'.
2024-06-10 11:21:36,942.nutrition_producer.INFO  [x] Sent 'Date: 1/10/2023, Fat (g): 73.89999999999999' to queue 'Fat (g)'.
2024-06-10 11:21:36,947.nutrition_producer.INFO  [x] Sent 'Date: 1/10/2023, Carbohydrates (g): 319.5' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:36,954.nutrition_producer.INFO  [x] Sent 'Date: 1/10/2023, Sodium (mg): 2909.8' to queue 'Sodium (mg)'.
2024-06-10 11:21:36,988.nutrition_producer.INFO  [x] Sent 'Date: 1/10/2023, Fiber: 33.0' to queue 'Fiber'.
2024-06-10 11:21:36,993.nutrition_producer.INFO  [x] Sent 'Date: 1/11/2023, Protein (g): 157.1' to queue 'Protein (g)'.
2024-06-10 11:21:37,005.nutrition_producer.INFO  [x] Sent 'Date: 1/11/2023, Fat (g): 60.39999999999999' to queue 'Fat (g)'.
2024-06-10 11:21:37,011.nutrition_producer.INFO  [x] Sent 'Date: 1/11/2023, Carbohydrates (g): 327.2' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,020.nutrition_producer.INFO  [x] Sent 'Date: 1/11/2023, Sodium (mg): 2819.7000000000003' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,025.nutrition_producer.INFO  [x] Sent 'Date: 1/11/2023, Fiber: 31.400000000000002' to queue 'Fiber'.
2024-06-10 11:21:37,029.nutrition_producer.INFO  [x] Sent 'Date: 1/12/2023, Protein (g): 179.4' to queue 'Protein (g)'.
2024-06-10 11:21:37,039.nutrition_producer.INFO  [x] Sent 'Date: 1/12/2023, Fat (g): 61.4' to queue 'Fat (g)'.
2024-06-10 11:21:37,043.nutrition_producer.INFO  [x] Sent 'Date: 1/12/2023, Carbohydrates (g): 323.6' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,050.nutrition_producer.INFO  [x] Sent 'Date: 1/12/2023, Sodium (mg): 2709.2' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,056.nutrition_producer.INFO  [x] Sent 'Date: 1/12/2023, Fiber: 30.700000000000003' to queue 'Fiber'.
2024-06-10 11:21:37,061.nutrition_producer.INFO  [x] Sent 'Date: 1/13/2023, Protein (g): 180.3' to queue 'Protein (g)'.
2024-06-10 11:21:37,068.nutrition_producer.INFO  [x] Sent 'Date: 1/13/2023, Fat (g): 63.89999999999999' to queue 'Fat (g)'.
2024-06-10 11:21:37,073.nutrition_producer.INFO  [x] Sent 'Date: 1/13/2023, Carbohydrates (g): 350.29999999999995' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,078.nutrition_producer.INFO  [x] Sent 'Date: 1/13/2023, Sodium (mg): 2502.9' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,085.nutrition_producer.INFO  [x] Sent 'Date: 1/13/2023, Fiber: 30.2' to queue 'Fiber'.
2024-06-10 11:21:37,092.nutrition_producer.INFO  [x] Sent 'Date: 1/14/2023, Protein (g): 176.9' to queue 'Protein (g)'.
2024-06-10 11:21:37,101.nutrition_producer.INFO  [x] Sent 'Date: 1/14/2023, Fat (g): 74.60000000000001' to queue 'Fat (g)'.
2024-06-10 11:21:37,110.nutrition_producer.INFO  [x] Sent 'Date: 1/14/2023, Carbohydrates (g): 315.4' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,121.nutrition_producer.INFO  [x] Sent 'Date: 1/14/2023, Sodium (mg): 2596.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,126.nutrition_producer.INFO  [x] Sent 'Date: 1/14/2023, Fiber: 50.599999999999994' to queue 'Fiber'.
2024-06-10 11:21:37,131.nutrition_producer.INFO  [x] Sent 'Date: 1/15/2023, Protein (g): 117.30000000000001' to queue 'Protein (g)'.
2024-06-10 11:21:37,140.nutrition_producer.INFO  [x] Sent 'Date: 1/15/2023, Fat (g): 37.9' to queue 'Fat (g)'.
2024-06-10 11:21:37,146.nutrition_producer.INFO  [x] Sent 'Date: 1/15/2023, Carbohydrates (g): 194.49999999999997' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,154.nutrition_producer.INFO  [x] Sent 'Date: 1/15/2023, Sodium (mg): 2236.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,158.nutrition_producer.INFO  [x] Sent 'Date: 1/15/2023, Fiber: 27.299999999999997' to queue 'Fiber'.
2024-06-10 11:21:37,163.nutrition_producer.INFO  [x] Sent 'Date: 1/16/2023, Protein (g): 154.8' to queue 'Protein (g)'.
2024-06-10 11:21:37,171.nutrition_producer.INFO  [x] Sent 'Date: 1/16/2023, Fat (g): 62.7' to queue 'Fat (g)'.
2024-06-10 11:21:37,175.nutrition_producer.INFO  [x] Sent 'Date: 1/16/2023, Carbohydrates (g): 311.1' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,186.nutrition_producer.INFO  [x] Sent 'Date: 1/16/2023, Sodium (mg): 2249.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,192.nutrition_producer.INFO  [x] Sent 'Date: 1/16/2023, Fiber: 41.99999999999999' to queue 'Fiber'.
2024-06-10 11:21:37,197.nutrition_producer.INFO  [x] Sent 'Date: 1/17/2023, Protein (g): 180.3' to queue 'Protein (g)'.
2024-06-10 11:21:37,206.nutrition_producer.INFO  [x] Sent 'Date: 1/17/2023, Fat (g): 65.4' to queue 'Fat (g)'.
2024-06-10 11:21:37,211.nutrition_producer.INFO  [x] Sent 'Date: 1/17/2023, Carbohydrates (g): 324.9' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,219.nutrition_producer.INFO  [x] Sent 'Date: 1/17/2023, Sodium (mg): 2369.6' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,224.nutrition_producer.INFO  [x] Sent 'Date: 1/17/2023, Fiber: 43.99999999999999' to queue 'Fiber'.
2024-06-10 11:21:37,230.nutrition_producer.INFO  [x] Sent 'Date: 1/18/2023, Protein (g): 174.9' to queue 'Protein (g)'.
2024-06-10 11:21:37,240.nutrition_producer.INFO  [x] Sent 'Date: 1/18/2023, Fat (g): 64.3' to queue 'Fat (g)'.
2024-06-10 11:21:37,245.nutrition_producer.INFO  [x] Sent 'Date: 1/18/2023, Carbohydrates (g): 360.80000000000007' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,253.nutrition_producer.INFO  [x] Sent 'Date: 1/18/2023, Sodium (mg): 2880.8' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,261.nutrition_producer.INFO  [x] Sent 'Date: 1/18/2023, Fiber: 30.9' to queue 'Fiber'.
